;;;;;;;;;;;;;Cores;Imagem-1(1024x1024);Imagem-2(2048x2048);Imagem-3(4096x4096);;Speed-up Ideal;Imagem-1(1024x1024);Imagem-2(2048x2048);Imagem-3(4096x4096);;Todos os resultados;Cores;Imagem-1(1024x1024);Imagem-2(2048x2048);Imagem-3(4096x4096);;;;;;;;;;;
;;;;;;;;;;;;;1;740;5780;45654;;-;-;-;-;;;1;896,203719;5769,476344;45583,282407;;;;;;;;;;;
;;;;;;;;;;;;;2;535;4040;29933;;2;1,38317757009346;1,43069306930693;1,52520629405673;;;1;740,454253;5834,232893;45588,079294;;;;;;;;;;;
;;;;;;;;;;;;;4;272;2027;16032;;4;2,72058823529412;2,85150468672916;2,84767964071856;;;1;740,731254;5768,135214;45626,694328;;;;;1;740;5780;45654;;;
;;;;;;;;;;;;;8;139;1014;7329;;8;5,32374100719424;5,70019723865878;6,22922636103152;;;1;740,632646;5779,352234;45671,492029;;;;;2;535;4040;29933;;;
;;;;;;;;;;;;;12;95;657;4751;;12;7,78947368421053;8,79756468797565;9,60934540096822;;;1;740,365051;5760,647113;45741,215841;;;;;4;272;2027;16032;;;
;;;;;;;;;;;;;16;74;499;3585;;16;10;11,5831663326653;12,7347280334728;;;1;740,392856;5774,708342;45844,757081;;;;;8;139;1014;7329;;;
;;;;;;;;;;;;;20;61;408;2988;;20;12,1311475409836;14,1666666666667;15,2791164658635;;;1;740,409926;5841,161205;45638,493968;;;;;12;95;657;4751;;;
;;;;;;;;;;;;;24;70;554;4021;;24;10,5714285714286;10,4332129963899;11,3538920666501;;;1;740,324368;5757,29121;45719,027711;;;;;16;74;499;3585;;;
;;;;;;;;;;;;;32;71;444;3392;;32;10,4225352112676;13,018018018018;13,4593160377359;;;1;739,874517;5758,138863;45552,788085;;;;;20;61;408;2988;;;
;;;;;;;;;;;;;40;60;358;2660;;40;12,3333333333333;16,145251396648;17,1631578947368;;;1;740,474643;5762,238972;45578,582966;;;;;24;70;554;4021;;->;Valores começam a oscilar consideravelmente comparando as medicoes anteriores
;;;;;;;;;;;;;48;279;548;2544;;48;2,65232974910394;10,5474452554745;17,9457547169811;;;2;530,524087;4272,102156;30465,949975;;;;;32;71;444;3392;;;
;;;;;;;;;;;;;;;;;;;;;;;;2;536,355088;4069,952711;28328,48284;;;;;40;60;358;2660;;;
;;;;;;;;;;;;;;;;;;;;;;;;2;542,09748;4070,091983;27389,345874;;;;;48;279;548;2544;;;
;;;;;;;;;;;;;;;;;;;;;;;;2;540,160777;4071,567771;32148,37774;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;2;530,658293;4069,002196;32156,745405;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;2;536,684031;4081,27851;27997,735997;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;2;532,853752;4082,333406;30236,048657;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;2;390,823663;3339,111149;32136,482527;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;2;534,524444;4072,425952;32164,792618;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;2;532,066884;4088,491422;26310,981345;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;4;271,919615;2046,268641;16175,533641;;;;;;;;;;;
